date,state_name,state_code,district_name,district_code,awc_infra_dws,awc_infra_fun_toilets,awc_infra_own_buil,aadhar_verf_benf,adolescent_girls,awc_open_1day,awc_open_21day,aww,awc,children_0_6_months,children_3_6_years,children_6months_3years,children_awc_21days,children_3_6_years_nonschool,children_3_6_years_school,elgb_benef,health_id_created,hcm_1_6days,hcm_15_20days,hcm_7_14days,hcm_atleast_1day,hcm_atleast_15days,hcm_atleast_21days,lact_mothers,pregnant_women,project,sector,thm_atleast_1day,thm_atleast_21days
01-04-2023,Assam,18,Bongaigaon,281,171,62,224,75086,0,1065,181,1084,1116,4496,35557,34190,483,33492,2065,82160,557,7370,3068,5523,16159,3266,198,4026,3891,5,45,8660,7546
01-04-2023,Assam,18,Cachar,282,115,86,203,169003,0,3722,526,3934,3941,9612,99262,82488,1697,98153,1109,205917,2859,14502,4580,8862,28732,5368,788,7632,6923,16,151,1385,1277
01-04-2023,Assam,18,Charaideo,708,52,63,142,32431,0,664,11,668,668,1828,19185,15703,11,18883,302,39869,462,3224,37,791,4052,37,0,1673,1480,4,21,343,339
01-04-2023,Assam,18,Chirang,612,91,88,142,35379,0,882,129,918,920,1957,20218,14938,544,19686,532,40359,137,5705,2133,3421,11646,2520,387,1577,1669,2,39,68,66
01-04-2023,Assam,18,Darrang,283,41,30,92,114115,0,2130,336,2162,2163,6510,58121,49955,827,57472,649,126815,2084,14972,4726,10804,30897,5121,395,5990,6239,6,89,9158,9086
01-04-2023,Assam,18,Dhemaji,284,99,23,94,62305,0,1539,163,1556,1557,3552,32392,25801,343,31557,835,68349,668,2574,800,2156,5549,819,19,3043,3561,4,62,5287,5155
01-04-2023,Assam,18,Dhubri,285,292,135,423,230513,0,2378,1014,2376,2409,11555,120911,89357,23918,119805,1106,242085,3095,21253,29993,29638,103758,52867,22874,10631,9631,11,79,88762,88457
01-04-2023,Assam,18,Dibrugarh,286,328,181,427,81593,0,1985,93,2094,2156,4391,52998,40506,228,51637,1361,106155,1496,12680,2591,8546,23871,2645,54,4099,4161,8,80,3445,2797
01-04-2023,Assam,18,Dima Hasao,299,7,5,12,12685,0,325,33,613,613,404,8557,5722,209,8368,189,15297,80,1010,343,480,1997,507,164,304,310,5,17,0,0
01-04-2023,Assam,18,Goalpara,287,203,135,306,122047,0,2445,543,2482,2488,6286,63292,51592,1561,62142,1150,132097,1317,15107,4098,9081,29126,4938,840,5365,5562,7,96,6014,5047
01-04-2023,Assam,18,Golaghat,288,204,127,395,90147,0,2162,260,2115,2223,5034,50582,37397,395,49450,1132,102876,1802,12565,8730,14201,35730,8964,234,4789,5074,9,74,4274,3524
01-04-2023,Assam,18,Hailakandi,289,25,18,74,81658,0,1311,353,1361,1374,3811,43250,34942,1068,42749,501,87994,502,8502,1178,3879,13809,1428,250,3152,2839,5,49,1299,1178
